Island Name,Group/Region,Area (sq km),Population,Administrative District,Main Settlement / Town,Protected Status,Tourism,Notable Features,Flood Events (per year),Temperature (°C),Rainfall (mm/year),Humidity (%),Other Notes
Cinque Island,Andaman,9.51,0,South Andaman,,Mahatma Gandhi Marine NP,Limited (by boat),Coral reefs diving,Rare,23–31,3000,70–85,Permits required
Rutland Island,Andaman,109.3,0,South Andaman,,,Limited,Beaches forests,Rare,23–31,3000,70–85,-
Wandoor,Andaman,15.6,1200,South Andaman,Wandoor,,Moderate,Beaches marine park gateway,Occasional,23–31,3000,70–85,-
Long Island,Andaman,18.1,2100,North & Middle Andaman,Long Island Village,,Low,Beaches forests,Occasional,22–30,3200,70–85,-
Interview Island,Andaman,133.0,0,North & Middle Andaman,,Wildlife Sanctuary,Limited,Wildlife forests,Rare,22–30,3200,70–85,-
Aves Island,Andaman,0.03,0,South Andaman,,,Limited,Small coral island,Rare,23–31,3000,70–85,-
Tarmugli Island,Andaman,1.26,0,South Andaman,,,Limited,Beaches forests,Rare,23–31,3000,70–85,-
Great Nicobar,Nicobar,1045.0,8500,Nicobar,Campbell Bay,Great Nicobar Biosphere Reserve,Low/Moderate,Indira Point rainforests,Occasional,22–30,3500,75–90,Southernmost point of India
Car Nicobar,Nicobar,126.9,29000,Nicobar,Car Nicobar,,Low,Beaches coconut groves,Occasional,22–30,3500,75–90,Most populous Nicobar
Little Nicobar,Nicobar,159.1,430,Nicobar,Afra Bay,Great Nicobar Biosphere Reserve,Limited,Forests wildlife,Occasional,22–30,3500,75–90,-
Katchal,Nicobar,174.4,3400,Nicobar,Katchal,,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Nancowry,Nicobar,66.9,1200,Nicobar,Nancowry,,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Chowra,Nicobar,8.2,1500,Nicobar,Chowra,,Low,Beaches traditional culture,Occasional,22–30,3500,75–90,-
Teressa,Nicobar,101.4,2100,Nicobar,Teressa,,Low,Beaches forests,Occasional,22–30,3500,75–90,-
Bompoka,Nicobar,13.3,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Pulomilo,Nicobar,1.3,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Meroe,Nicobar,0.52,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Tilangchong,Nicobar,16.84,0,Nicobar,,,Limited,Small uninhabited,Occasional,22–30,3500,75–90,-
Kavaratti,Lakshadweep,4.22,11322,Lakshadweep,Kavaratti,,Major,Capital beaches coral reefs,Occasional,25–32,1600,70–80,Administrative capital
Agatti,Lakshadweep,3.84,7560,Lakshadweep,Agatti,,Major,Airport beaches diving,Occasional,25–32,1600,70–80,Only airport in Lakshadweep
Minicoy,Lakshadweep,4.8,10447,Lakshadweep,Minicoy,,Major,Lighthouse beaches culture,Occasional,25–32,1600,70–80,Southernmost Lakshadweep
Kadmat,Lakshadweep,3.12,5379,Lakshadweep,Kadmat,,Major,Beaches coral reefs,Occasional,25–32,1600,70–80,-
Amini,Lakshadweep,2.59,7340,Lakshadweep,Amini,,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-
Andrott,Lakshadweep,4.84,10720,Lakshadweep,Andrott,,Moderate,Beaches largest Lakshadweep,Occasional,25–32,1600,70–80,Largest inhabited island
Kalpeni,Lakshadweep,2.79,4419,Lakshadweep,Kalpeni,,Moderate,Beaches coral reefs,Occasional,25–32,1600,70–80,-
Kiltan,Lakshadweep,1.63,3944,Lakshadweep,Kiltan,,Moderate,Beaches traditional culture,Occasional,25–32,1600,70–80,-
Chetlat,Lakshadweep,1.14,2289,Lakshadweep,Chetlat,,Low,Beaches small island,Occasional,25–32,1600,70–80,-
Bitra,Lakshadweep,0.105,271,Lakshadweep,Bitra,,Low,Smallest inhabited island,Occasional,25–32,1600,70–80,Smallest inhabited
Bangaram,Lakshadweep,2.3,0,Lakshadweep,,,Major,Resort island diving,Occasional,25–32,1600,70–80,Uninhabited resort
Thinnakara,Lakshadweep,1.4,0,Lakshadweep,,,Major,Resort island beaches,Occasional,25–32,1600,70–80,Uninhabited resort
Vypin Island,Kerala,25.0,200000,Ernakulam,Vypin,,Major,Beaches backwaters,Occasional,23–35,3000,70–85,Connected by bridges
Willingdon Island,Kerala,3.5,0,Ernakulam,,,Major,Port facilities,Occasional,23–35,3000,70–85,Artificial island port
Bolgatty Island,Kerala,0.2,0,Ernakulam,,,Major,Heritage hotel,Occasional,23–35,3000,70–85,Heritage resort
Munroe Island,Kerala,13.4,10000,Kollam,Munroe Island,,Moderate,Backwaters village life,Occasional,23–35,3000,70–85,Backwater tourism
Pathiramanal Island,Kerala,0.28,0,Alappuzha,,,Major,Bird sanctuary,Occasional,23–35,3000,70–85,100 species of birds
Kumarakom Islands,Kerala,15.0,8000,Kottayam,Kumarakom,,Major,Backwaters resorts,Occasional,23–35,3000,70–85,Backwater tourism hub
Chavara Thekkumbhagom,Kerala,2.5,1500,Kollam,Chavara,,Moderate,Beaches backwaters,Occasional,23–35,3000,70–85,-
Poovar Island,Kerala,3.2,2000,Thiruvananthapuram,Poovar,,Major,Golden beach floating cottages,Occasional,23–35,3000,70–85,River meets sea
Ezhumanthuruthu,Kerala,1.8,800,Kottayam,Ezhumanthuruthu,,Moderate,Paddy fields village life,Occasional,23–35,3000,70–85,Model tourism village
Moolampilly,Kerala,2.1,1200,Ernakulam,Moolampilly,,Moderate,Paddy fields mangroves,Occasional,23–35,3000,70–85,Kadamakkudy cluster
Ponnani Thuruthu,Kerala,1.5,500,Malappuram,Ponnani,,Moderate,Estuary birdwatching,Occasional,23–35,3000,70–85,Ponnani Islands
Madakkal Island,Kerala,0.8,200,Kozhikode,Madakkal,,Limited,Mangroves birdwatching,Occasional,23–35,3000,70–85,Kadalundi estuary
Rameswaram Island,Tamil Nadu,61.8,44856,Ramanathapuram,Rameswaram,,Major,Temple beaches bridge,Occasional,23–35,1200,60–75,Sacred Hindu site
Srirangam Island,Tamil Nadu,13.0,81000,Tiruchirappalli,Srirangam,,Major,Temple complex heritage,Occasional,23–35,1200,60–75,Sacred island temple
Kurusadai Island,Tamil Nadu,0.5,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs research station,Rare,23–35,1200,60–75,Gulf of Mannar
Quibble Island,Tamil Nadu,2.1,0,Chennai,,,Limited,Cemetery heritage,Occasional,23–35,1200,60–75,Colonial cemetery
Gulf of Mannar Islands,Tamil Nadu,10.8,0,Ramanathapuram,,Marine National Park,Limited,Coral reefs biodiversity,Rare,23–35,1200,60–75,21 islands group
Pulicat Island,Tamil Nadu,15.0,5000,Tiruvallur,Pulicat,,Moderate,Lake lagoon fishing,Occasional,23–35,1200,60–75,Second largest lagoon
Pamban Island,Tamil Nadu,67.0,50000,Ramanathapuram,Pamban,,Major,Beaches fishing,Occasional,23–35,1200,60–75,Connected to mainland
Divar Island,Goa,5.0,1200,North Goa,Divar,,Moderate,Portuguese heritage churches,Occasional,23–35,3000,70–85,Portuguese colonial heritage
Chorao Island,Goa,3.8,5000,North Goa,Chorao,,Moderate,Mangroves bird sanctuary,Occasional,23–35,3000,70–85,Salim Ali Bird Sanctuary
St. Mary's Island,Karnataka,0.5,0,Udupi,,,Major,Beaches geology,Occasional,20–35,3000,70–85,Columnar basalt
Netrani Island,Karnataka,0.5,0,Uttara Kannada,,,Major,Diving destination,Rare,20–35,3000,70–85,Popular diving site
Kurumgad Island,Karnataka,0.3,0,Uttara Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Mangalore Port Island,Karnataka,2.0,0,Dakshina Kannada,,,Major,Port facilities,Occasional,20–35,3000,70–85,Port island
Panambur Island,Karnataka,1.0,0,Dakshina Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Tannirbavi Island,Karnataka,0.5,0,Dakshina Kannada,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Devgad Island,Maharashtra,0.5,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Vengurla Rocks,Maharashtra,0.2,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Malvan Island,Maharashtra,0.3,0,Sindhudurg,,,Limited,Small uninhabited,Rare,20–35,3000,70–85,-
Sindhudurg Fort Island,Maharashtra,0.5,0,Sindhudurg,,,Major,Historic fort,Occasional,20–35,3000,70–85,Historic island fort
Elephanta Island,Mumbai,16.0,1200,Mumbai Suburban,,UNESCO World Heritage,Major,Cave temples history,Occasional,23–35,2500,60–80,Ancient cave temples
Butcher Island,Mumbai,0.5,0,Mumbai Suburban,,,Limited,Oil storage facility,Rare,23–35,2500,60–80,Industrial use
Cross Island,Mumbai,0.3,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Oyster Rock,Mumbai,0.1,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Middle Ground,Mumbai,0.2,0,Mumbai Suburban,,,Limited,Small uninhabited,Rare,23–35,2500,60–80,-
Salsette Island,Mumbai,619.0,15000000,Mumbai Suburban,Mumbai,,Major,Metropolitan area,Occasional,23–35,2500,60–80,Most populous island
Sagar Island,West Bengal,300.0,212000,South 24 Parganas,Sagar,,Major,Pilgrimage beaches,Occasional,20–35,1800,70–85,Ganga Sagar pilgrimage
Ghoramara Island,West Bengal,4.43,5000,South 24 Parganas,Ghoramara,,Low,Disappearing island,Occasional,20–35,1800,70–85,Climate change impact
Lohachara Island,West Bengal,0.5,0,South 24 Parganas,,,,Submerged island,Rare,20–35,1800,70–85,Completely submerged
New Moore Island,West Bengal,0.5,0,South 24 Parganas,,,,Disputed territory,Rare,20–35,1800,70–85,India-Bangladesh dispute
Wheeler Island,Odisha,2.0,0,Bhadrak,,,Limited,Missile testing facility,Rare,20–35,1500,60–75,DRDO facility
Paradip Island,Odisha,15.0,50000,Jagatsinghpur,Paradip,,Major,Port facilities,Occasional,20–35,1500,60–75,Major port
Hukitola Island,Odisha,8.0,0,Kendrapara,,,Limited,Wildlife sanctuary,Rare,20–35,1500,60–75,-
Bhitarkanika Island,Odisha,145.0,0,Kendrapara,,Wildlife Sanctuary,Major,Mangroves crocodiles,Occasional,20–35,1500,60–75,Mangrove ecosystem
Bet Dwarka,Gujarat,8.0,5000,Devbhoomi Dwarka,Bet Dwarka,,Major,Temple heritage,Occasional,20–35,600,50–70,Sacred Hindu site
Pirotan Island,Gujarat,3.0,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Narara Island,Gujarat,2.0,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Kadmat Island,Gujarat,1.5,0,Jamnagar,,Marine National Park,Limited,Coral reefs marine life,Rare,20–35,600,50–70,Marine protected area
Beyt Dwarka,Gujarat,0.5,0,Devbhoomi Dwarka,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Shiyal Bet,Gujarat,0.3,0,Amreli,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Piram Island,Gujarat,0.2,0,Bhavnagar,,,Limited,Small uninhabited,Rare,20–35,600,50–70,-
Krishnapatnam Island,Andhra Pradesh,5.0,2000,Nellore,Krishnapatnam,,Major,Port facilities,Occasional,23–35,1000,60–75,Major port
Bhavani Island,Andhra Pradesh,133.0,5000,Vijayawada,Bhavani Island,,Major,Resort island,Occasional,23–35,1000,60–75,River island resort
Konaseema Islands,Andhra Pradesh,200.0,500000,East Godavari,Amalapuram,,Major,River delta islands,Occasional,23–35,1000,60–75,River delta region
Hope Island,Andhra Pradesh,8.0,0,Krishna,,,Limited,Barrier island,Rare,23–35,1000,60–75,Barrier island
Vijaya Durga Island,Andhra Pradesh,2.0,0,Visakhapatnam,,,Limited,Small uninhabited,Rare,23–35,1000,60–75,-
Diu Island,Diu,40.0,52000,Diu,Diu,,Major,Portuguese heritage beaches,Occasional,20–35,800,60–75,Portuguese colonial history
Majuli Island,Assam,880.0,167000,Jorhat,Majuli,,Major,River island satras,Occasional,15–35,2500,70–85,World's largest river island
Umananda Island,Assam,0.02,0,Kamrup Metro,,,Major,Temple island,Occasional,15–35,2500,70–85,Peacock Island
Bhelaguri Island,Assam,2.5,800,Morigaon,Bhelaguri,,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island
Ahotguri Island,Assam,1.8,500,Nagaon,Ahotguri,,Moderate,Sandbar agriculture,Occasional,15–35,2500,70–85,Char island
Kamalabari Island,Assam,3.2,1200,Jorhat,Kamalabari,,Moderate,Satra culture,Occasional,15–35,2500,70–85,Part of Majuli
Salmora Island,Assam,1.5,600,Jorhat,Salmora,,Moderate,Pottery crafts,Occasional,15–35,2500,70–85,Part of Majuli
Raghopur Island,Bihar,15.0,8000,Vaishali,Raghopur,,Moderate,River island agriculture,Occasional,15–35,1200,60–75,Harappan remains
Kahalgaon River Islands,Bihar,8.0,3000,Bhagalpur,Kahalgaon,,Moderate,River islands mythology,Occasional,15–35,1200,60–75,Ganga mythology
Sultanganj & Ajgaivinath Island,Bihar,2.0,1500,Bhagalpur,Sultanganj,,Major,Temple pilgrimage,Occasional,15–35,1200,60–75,Ajgaivinath Temple
Diara Islands,Bihar,50.0,25000,Multiple,Multiple,,Moderate,Ganga floodplains,Occasional,15–35,1200,60–75,Shifting sandbars 
Brahmaputra River Islands,Arunachal Pradesh,25.0,1500,East Siang,Pasighat,,Moderate,River islands tribal culture,Occasional,15–30,2500,70–85,Brahmaputra river islands
Siang River Islands,Arunachal Pradesh,15.0,800,East Siang,Pasighat,,Low,River islands agriculture,Occasional,15–30,2500,70–85,Siang river tributaries
Dibang River Islands,Arunachal Pradesh,8.0,400,Lower Dibang Valley,Roing,,Low,River islands wildlife,Occasional,15–30,2500,70–85,Dibang river system
Lohit River Islands,Arunachal Pradesh,12.0,600,Lohit,Tezu,,Low,River islands tribal villages,Occasional,15–30,2500,70–85,Lohit river tributaries
Miao Island,Arunachal Pradesh,2.0,200,Changlang,Miao,,Moderate,River island wildlife sanctuary,Occasional,15–30,2500,70–85,Near Namdapha NP
Mahanadi River Islands,Chhattisgarh,45.0,8000,Raipur,Raipur,,Moderate,River islands agriculture,Occasional,20–35,1200,60–75,Mahanadi river system
Hasdev River Islands,Chhattisgarh,20.0,3000,Korba,Korba,,Low,River islands coal mining,Occasional,20–35,1200,60–75,Hasdev river tributaries
Indravati River Islands,Chhattisgarh,15.0,2000,Bijapur,Bijapur,,Low,River islands tribal culture,Occasional,20–35,1200,60–75,Indravati river system
Sheonath River Islands,Chhattisgarh,8.0,1500,Raipur,Raipur,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Sheonath river
Kelo River Islands,Chhattisgarh,5.0,800,Raigarh,Raigarh,,Low,River islands small settlements,Occasional,20–35,1200,60–75,Kelo river tributaries
Yamuna River Islands,Haryana,30.0,12000,Yamunanagar,Yamunanagar,,Moderate,River islands agriculture,Occasional,15–35,800,50–70,Yamuna river system
Ghaggar River Islands,Haryana,15.0,5000,Sirsa,Sirsa,,Low,River islands seasonal,Occasional,15–35,800,50–70,Ghaggar river system
Markanda River Islands,Haryana,8.0,2000,Ambala,Ambala,,Low,River islands agriculture,Occasional,15–35,800,50–70,Markanda river
Tangri River Islands,Haryana,5.0,1500,Karnal,Karnal,,Low,River islands small settlements,Occasional,15–35,800,50–70,Tangri river
Dohan River Islands,Haryana,3.0,800,Gurugram,Gurugram,,Low,River islands urban fringe,Occasional,15–35,800,50–70,Dohan river
Beas River Islands,Himachal Pradesh,25.0,8000,Kangra,Kangra,,Moderate,River islands agriculture,Occasional,10–30,1500,60–80,Beas river system
Sutlej River Islands,Himachal Pradesh,20.0,6000,Bilaspur,Bilaspur,,Moderate,River islands hydro projects,Occasional,10–30,1500,60–80,Sutlej river system
Ravi River Islands,Himachal Pradesh,15.0,4000,Chamba,Chamba,,Moderate,River islands temples,Occasional,10–30,1500,60–80,Ravi river system
Chenab River Islands,Himachal Pradesh,12.0,3000,Lahaul and Spiti,Keylong,,Low,River islands high altitude,Occasional,10–30,1500,60–80,Chenab river
Parvati River Islands,Himachal Pradesh,8.0,2000,Kullu,Kullu,,Moderate,River islands adventure tourism,Occasional,10–30,1500,60–80,Parvati river
Damodar River Islands,Jharkhand,40.0,15000,Dhanbad,Dhanbad,,Moderate,River islands coal mining,Occasional,20–35,1200,60–75,Damodar river system
Subarnarekha River Islands,Jharkhand,25.0,8000,Ranchi,Ranchi,,Moderate,River islands tribal culture,Occasional,20–35,1200,60–75,Subarnarekha river
Koel River Islands,Jharkhand,18.0,6000,Lohardaga,Lohardaga,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Koel river system
North Koel River Islands,Jharkhand,12.0,4000,Palamu,Palamu,,Low,River islands forests,Occasional,20–35,1200,60–75,North Koel river
South Koel River Islands,Jharkhand,10.0,3000,Ranchi,Ranchi,,Low,River islands tribal villages,Occasional,20–35,1200,60–75,South Koel river
Auranga River Islands,Jharkhand,8.0,2000,Palamu,Palamu,,Low,River islands small settlements,Occasional,20–35,1200,60–75,Auranga river 
Narmada River Islands,Madhya Pradesh,60.0,20000,Jabalpur,Jabalpur,,Major,River islands temples,Occasional,20–35,1200,60–75,Narmada river system
Tawa River Islands,Madhya Pradesh,25.0,8000,Hoshangabad,Hoshangabad,,Moderate,River islands agriculture,Occasional,20–35,1200,60–75,Tawa river system
Chambal River Islands,Madhya Pradesh,35.0,12000,Morena,Morena,,Moderate,River islands wildlife,Occasional,20–35,1200,60–75,Chambal river system
Betwa River Islands,Madhya Pradesh,20.0,6000,Vidisha,Vidisha,,Moderate,River islands heritage,Occasional,20–35,1200,60–75,Betwa river system
Ken River Islands,Madhya Pradesh,15.0,4000,Panna,Panna,,Moderate,River islands forests,Occasional,20–35,1200,60–75,Ken river system
Sone River Islands,Madhya Pradesh,18.0,5000,Sidhi,Sidhi,,Low,River islands agriculture,Occasional,20–35,1200,60–75,Sone river system
Wainganga River Islands,Madhya Pradesh,12.0,3000,Balaghat,Balaghat,,Low,River islands tribal culture,Occasional,20–35,1200,60–75,Wainganga river
Loktak Lake Islands,Manipur,286.0,100000,Bishnupur,Thanga,,Major,Lake islands floating villages,Occasional,15–30,2000,70–85,World's only floating NP
Loktak Floating Islands,Manipur,50.0,15000,Bishnupur,,,Major,Phumdis floating biomass,Occasional,15–30,2000,70–85,Unique floating islands
Imphal River Islands,Manipur,15.0,8000,Imphal East,Imphal,,Moderate,River islands urban,Occasional,15–30,2000,70–85,Imphal river system
Iril River Islands,Manipur,12.0,5000,Imphal East,Imphal,,Moderate,River islands agriculture,Occasional,15–30,2000,70–85,Iril river system
Thoubal River Islands,Manipur,10.0,4000,Thoubal,Thoubal,,Moderate,River islands fishing,Occasional,15–30,2000,70–85,Thoubal river system
Manipur River Islands,Manipur,8.0,3000,Imphal West,Imphal,,Low,River islands small settlements,Occasional,15–30,2000,70–85,Manipur river
Umiam Lake Islands,Meghalaya,10.0,2000,Ri Bhoi,Shillong,,Major,Lake islands tourism,Occasional,15–25,2500,70–85,Umiam reservoir
Kynshi River Islands,Meghalaya,8.0,1500,West Khasi Hills,Nongstoin,,Low,River islands tribal culture,Occasional,15–25,2500,70–85,Kynshi river system
Umngot River Islands,Meghalaya,6.0,1000,East Khasi Hills,Shillong,,Moderate,River islands crystal clear water,Occasional,15–25,2500,70–85,Umngot river
Simsang River Islands,Meghalaya,5.0,800,East Garo Hills,Williamnagar,,Low,River islands forests,Occasional,15–25,2500,70–85,Simsang river
Dareng River Islands,Meghalaya,4.0,600,West Garo Hills,Tura,,Low,River islands small settlements,Occasional,15–25,2500,70–85,Dareng river
Rangdap River Islands,Meghalaya,3.0,400,South Garo Hills,Baghmara,,Low,River islands remote,Occasional,15–25,2500,70–85,Rangdap river
Tlawng River Islands,Mizoram,20.0,8000,Aizawl,Aizawl,,Moderate,River islands urban,Occasional,15–30,2500,70–85,Tlawng river system
Khawthlangtuipui River Islands,Mizoram,15.0,6000,Lunglei,Lunglei,,Moderate,River islands agriculture,Occasional,15–30,2500,70–85,Khawthlangtuipui river
Karnaphuli River Islands,Mizoram,12.0,4000,Lawngtlai,Lawngtlai,,Low,River islands tribal culture,Occasional,15–30,2500,70–85,Karnaphuli river
Mat River Islands,Mizoram,8.0,3000,Champhai,Champhai,,Low,River islands border area,Occasional,15–30,2500,70–85,Mat river system
Tuichawng River Islands,Mizoram,6.0,2000,Saiha,Saiha,,Low,River islands remote,Occasional,15–30,2500,70–85,Tuichawng river
Dil River Islands,Mizoram,4.0,1500,Mamit,Mamit,,Low,River islands small settlements,Occasional,15–30,2500,70–85,Dil river
Dhansiri River Islands,Nagaland,25.0,10000,Dimapur,Dimapur,,Moderate,River islands agriculture,Occasional,15–30,2000,70–85,Dhansiri river system
Doyang River Islands,Nagaland,20.0,8000,Wokha,Wokha,,Moderate,River islands hydro project,Occasional,15–30,2000,70–85,Doyang river system
Dikhu River Islands,Nagaland,15.0,6000,Mokokchung,Mokokchung,,Moderate,River islands tribal culture,Occasional,15–30,2000,70–85,Dikhu river system
Tizu River Islands,Nagaland,12.0,4000,Zunheboto,Zunheboto,,Low,River islands forests,Occasional,15–30,2000,70–85,Tizu river system
Milak River Islands,Nagaland,8.0,3000,Mokokchung,Mokokchung,,Low,River islands agriculture,Occasional,15–30,2000,70–85,Milak river
Tsurang River Islands,Nagaland,6.0,2000,Tuensang,Tuensang,,Low,River islands tribal villages,Occasional,15–30,2000,70–85,Tsurang river
Zungki River Islands,Nagaland,4.0,1500,Tuensang,Tuensang,,Low,River islands small settlements,Occasional,15–30,2000,70–85,Zungki river 
Sutlej River Islands,Punjab,40.0,25000,Firozpur,Firozpur,,Major,River islands agriculture,Occasional,15–35,600,50–70,Sutlej river system
Beas River Islands,Punjab,30.0,18000,Amritsar,Amritsar,,Major,River islands Golden Temple area,Occasional,15–35,600,50–70,Beas river system
Ravi River Islands,Punjab,25.0,15000,Gurdaspur,Gurdaspur,,Moderate,River islands agriculture,Occasional,15–35,600,50–70,Ravi river system
Chenab River Islands,Punjab,20.0,12000,Fazilka,Fazilka,,Moderate,River islands border area,Occasional,15–35,600,50–70,Chenab river system
Ghaggar River Islands,Punjab,15.0,8000,Patiala,Patiala,,Low,River islands seasonal,Occasional,15–35,600,50–70,Ghaggar river
Swan River Islands,Punjab,10.0,5000,Hoshiarpur,Hoshiarpur,,Low,River islands small settlements,Occasional,15–35,600,50–70,Swan river
Chakki River Islands,Punjab,8.0,3000,Pathankot,Pathankot,,Low,River islands border area,Occasional,15–35,600,50–70,Chakki river
Indus River Islands,Rajasthan,35.0,15000,Jaisalmer,Jaisalmer,,Moderate,River islands desert,Occasional,20–40,400,40–60,Indus river system
Luni River Islands,Rajasthan,25.0,12000,Jodhpur,Jodhpur,,Moderate,River islands seasonal,Occasional,20–40,400,40–60,Luni river system
Chambal River Islands,Rajasthan,30.0,18000,Kota,Kota,,Moderate,River islands wildlife,Occasional,20–40,400,40–60,Chambal river system
Banas River Islands,Rajasthan,20.0,10000,Tonk,Tonk,,Moderate,River islands agriculture,Occasional,20–40,400,40–60,Banas river system
Mahi River Islands,Rajasthan,15.0,8000,Banswara,Banswara,,Low,River islands tribal culture,Occasional,20–40,400,40–60,Mahi river system
Sabarmati River Islands,Rajasthan,12.0,6000,Udaipur,Udaipur,,Moderate,River islands lakes,Occasional,20–40,400,40–60,Sabarmati river
Kali Sindh River Islands,Rajasthan,8.0,4000,Jhalawar,Jhalawar,,Low,River islands small settlements,Occasional,20–40,400,40–60,Kali Sindh river
Teesta River Islands,Sikkim,20.0,8000,East Sikkim,Gangtok,,Major,River islands tourism,Occasional,10–25,2500,70–85,Teesta river system
Rangit River Islands,Sikkim,15.0,6000,South Sikkim,Namchi,,Moderate,River islands hydro projects,Occasional,10–25,2500,70–85,Rangit river system
Lachung River Islands,Sikkim,12.0,4000,North Sikkim,Lachung,,Moderate,River islands high altitude,Occasional,10–25,2500,70–85,Lachung river
Lachen River Islands,Sikkim,10.0,3000,North Sikkim,Lachen,,Low,River islands glaciers,Occasional,10–25,2500,70–85,Lachen river
Rani Khola Islands,Sikkim,8.0,2000,West Sikkim,Geyzing,,Low,River islands forests,Occasional,10–25,2500,70–85,Rani Khola river
Rangpo River Islands,Sikkim,6.0,1500,East Sikkim,Rangpo,,Low,River islands border area,Occasional,10–25,2500,70–85,Rangpo river
Godavari River Islands,Telangana,50.0,30000,Karimnagar,Karimnagar,,Major,River islands temples,Occasional,20–35,1000,60–75,Godavari river system
Krishna River Islands,Telangana,40.0,25000,Nalgonda,Nalgonda,,Major,River islands agriculture,Occasional,20–35,1000,60–75,Krishna river system
Manjira River Islands,Telangana,25.0,15000,Medak,Medak,,Moderate,River islands wildlife,Occasional,20–35,1000,60–75,Manjira river system
Musi River Islands,Telangana,20.0,12000,Hyderabad,Hyderabad,,Moderate,River islands urban,Occasional,20–35,1000,60–75,Musi river system
Penganga River Islands,Telangana,15.0,8000,Adilabad,Adilabad,,Low,River islands tribal culture,Occasional,20–35,1000,60–75,Penganga river
Pranahita River Islands,Telangana,12.0,6000,Adilabad,Adilabad,,Low,River islands forests,Occasional,20–35,1000,60–75,Pranahita river
Kinnerasani River Islands,Telangana,8.0,4000,Khammam,Khammam,,Low,River islands small settlements,Occasional,20–35,1000,60–75,Kinnerasani river
Gomati River Islands,Tripura,30.0,20000,West Tripura,Agartala,,Major,River islands temples,Occasional,20–35,2000,70–85,Gomati river system
Manu River Islands,Tripura,25.0,15000,Dhalai,Ambassa,,Moderate,River islands agriculture,Occasional,20–35,2000,70–85,Manu river system
